alamat_rumah,harga_rumah,jumlah_kamar,jumlah_bangunan,luas_lahan
Bandung Timur,1550000000,4,200,89
Bandung Timur,2100000000,3,150,216
Bandung Selatan,1050000000,4,100,96
Bandung Selatan,750000000,2,70,100
Bandung Selatan,2100000000,2,190,238
Bandung Selatan,4250000000,2,200,150
Bandung Tengah,250000000,2,30,60
Bandung Selatan,1750000000,7,179,191
Bandung Selatan,785000000,3,100,70
Bandung Utara,5600000000,5,250,310
Bandung Timur,14000000000,3,350,595
Bandung Selatan,3000000000,5,230,340
Bandung Selatan,1600000000,4,150,224
Bandung Selatan,1750000000,3,150,203
Bandung Utara,1500000000,3,167,223
Bandung Timur,3000000000,3,100,352
Bandung Barat,750000000,8,70,101
Bandung Tengah,650000000,2,50,56
Bandung Barat,800000000,3,50,72
Bandung Barat,1300000000,3,140,125
Bandung Barat,2500000000,12,500,460
Bandung Tengah,475000000,5,70,48
Bandung Tengah,400000000,8,110,140
Bandung Selatan,675000000,2,55,74
Bandung Selatan,1200000000,6,150,200
Bandung Timur,2500000000,3,150,107
Bandung Selatan,800000000,5,200,293
Bandung Tengah,3300000000,7,300,240
Bandung Barat,700000000,4,90,105
Bandung Selatan,1700000000,3,200,136
Bandung Selatan,1025000000,3,96,100
Bandung Timur,2700000000,6,350,228
Bandung Utara,2500000000,6,250,225
Bandung Timur,2100000000,5,250,202
Bandung Barat,2000000000,3,130,200
Bandung Barat,1400000000,4,150,104
Bandung Timur,3700000000,1,180,92
Bandung Tengah,500000000,3,104,52
Bandung Tengah,1500000000,4,100,117
Bandung Selatan,2200000000,5,120,180
Bandung Utara,9000000000,26,450,396
Bandung Selatan,850000000,3,80,83
Bandung Utara,10000000000,17,480,400
Bandung Selatan,4500000000,7,400,420
Bandung Selatan,2200000000,10,250,142
Bandung Timur,1000000000,4,100,109
Bandung Barat,1350000000,4,110,232
Bandung Selatan,2500000000,6,150,285
Bandung Selatan,600000000,2,150,60
Bandung Timur,1700000000,8,160,150
Bandung Utara,2500000000,4,120,225
Bandung Utara,4800000000,4,300,327
Bandung Utara,6500000000,6,225,490
Bandung Barat,348000000,2,36,26
Bandung Barat,348000000,2,36,72
Bandung Tengah,1700000000,3,100,160
Bandung Selatan,480000000,2,42,72
Bandung Tengah,350000000,2,36,72
Bandung Utara,710000000,2,42,72
Bandung Tengah,238500000,2,29,72
Bandung Utara,1900000000,3,160,238
Bandung Timur,450000000,2,40,72
Bandung Utara,700000000,3,80,94
Bandung Utara,8000000000,6,340,790
Bandung Timur,5500000000,4,336,392
Bandung Utara,3100000000,4,175,189
Bandung Utara,2600000000,6,300,200
